"Supplemental Table 5. Predictive performance (AUROCs) for each type of health event in each database with different augmentation ratios, under the overall health event prediction evaluation.",,,,,,,,
Fold,Proportion,Accuracy,Sensitivity,Specificity,F1,AUC,Type,DS
2,all real(baseline),0.966666667,0.95,0.933333333,0.967741935,1,estrus,D4
2,real+50%Syn,0.966666667,1,0.933333333,0.967741935,1,estrus,D4
2,real+100%Syn,0.933333333,0.933333333,0.933333333,0.933333333,0.991111111,estrus,D4
2,real+150%Syn,0.933333333,0.933333333,0.933333333,0.933333333,0.937777778,estrus,D4
2,real+200%Syn,0.966666667,1,0.933333333,0.967741935,0.942222222,estrus,D4
2,real+300%Syn,0.866666667,1,0.733333333,0.882352941,0.991111111,estrus,D4
2,all Syn,0.766666667,0.6,0.933333333,0.72,0.733333333,estrus,D4
3,all real(baseline),0.866666667,0.75,0.933333333,0.857142857,0.96,estrus,D4
3,real+50%Syn,0.866666667,0.8,0.933333333,0.857142857,0.924444444,estrus,D4
3,real+100%Syn,0.933333333,0.866666667,1,0.928571429,0.982222222,estrus,D4
3,real+150%Syn,0.8,0.666666667,0.933333333,0.769230769,0.951111111,estrus,D4
3,real+200%Syn,0.9,0.866666667,0.933333333,0.896551724,0.937777778,estrus,D4
3,real+300%Syn,0.933333333,1,0.866666667,0.9375,0.973333333,estrus,D4
3,all Syn,0.733333333,0.466666667,1,0.636363636,0.897777778,estrus,D4
1,all real(baseline),0.7,0.6,0.75,0.684210526,0.8175,disease,D4
1,real+50%Syn,0.85,0.85,0.85,0.85,0.9275,disease,D4
1,real+100%Syn,0.875,0.85,0.9,0.871794872,0.91,disease,D4
1,real+150%Syn,0.8,0.9,0.7,0.818181818,0.8025,disease,D4
1,real+200%Syn,0.725,0.6,0.85,0.685714286,0.78,disease,D4
1,real+300%Syn,0.9,1,0.8,0.909090909,0.965,disease,D4
1,all Syn,0.575,0.55,0.6,0.564102564,0.6225,disease,D4
2,all real(baseline),0.75,0.55,0.9,0.705882353,0.8975,disease,D4
2,real+50%Syn,0.7,0.7,0.7,0.7,0.7975,disease,D4
2,real+100%Syn,0.7,0.55,0.85,0.647058824,0.705,disease,D4
2,real+150%Syn,0.7,0.9,0.5,0.75,0.6925,disease,D4
2,real+200%Syn,0.725,0.55,0.9,0.666666667,0.88,disease,D4
2,real+300%Syn,0.725,1,0.45,0.784313725,0.8025,disease,D4
2,all Syn,0.55,0.1,1,0.181818182,0.8,disease,D4
3,all real(baseline),0.725,0.6,0.8,0.702702703,0.8825,disease,D4
3,real+50%Syn,0.775,0.75,0.8,0.769230769,0.895,disease,D4
3,real+100%Syn,0.7,0.5,0.9,0.625,0.8725,disease,D4
3,real+150%Syn,0.75,0.6,0.9,0.705882353,0.88,disease,D4
3,real+200%Syn,0.75,0.7,0.8,0.736842105,0.85,disease,D4
3,real+300%Syn,0.825,0.65,1,0.787878788,0.915,disease,D4
3,all Syn,0.625,0.25,1,0.4,0.7575,disease,D4
